Distrito,Latitud,Longitud,Indice_Seguridad,Proximidad_Vias_Principales_km,Area_Total_m2,Area_Techada_m2,Habitaciones,Banos,Antiguedad_Anios,Estacionamientos,Viabilidad_Pozo_Agua,Potencial_Energia_Solar,Zonificacion,Estado_Independizacion,Modalidad_Compra,Precio_Publicado_USD,Precio_M2_Referencial_Zona
Pucusana,-12.008660658587473,-77.10797727090849,5,4.58,262,258.51,7,4,13,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,171146.4,700
Lurín,-12.171770227736479,-76.99073408650422,5,2.19,120,0.0,0,0,0,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,67864.27,500
Lurigancho-Chosica,-12.2360502055588,-77.17852244283556,6,0.68,269,245.99,7,4,3,2,0,0,Residencial Media Densidad,0,Crédito Hipotecario,201381.49,800
Jesús María,-11.945623824632253,-76.91159914038911,8,1.09,82,61.92,1,1,12,1,0,0,Residencial Media Densidad,1,Contado,103519.74,1700
Rímac,-12.025164492105503,-77.08500317296418,4,2.48,141,133.97,3,2,6,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,130670.84,1000
Rímac,-12.0295155311066,-76.99688075375838,4,4.63,66,63.82,1,1,34,2,0,0,Residencial Media Densidad,0,Crédito Hipotecario,43233.64,1000
San Juan de Miraflores,-12.092780815529537,-77.148573366591,4,2.23,140,103.27,2,1,18,2,0,0,Residencial Media Densidad,0,Contado,87230.39,1000
Lurín,-11.996403275765344,-77.06708959178603,5,0.95,120,0.0,0,0,0,2,1,0,Alquiler Vacacional,0,Cuotas sin intereses,65224.88,500
Rímac,-12.1085070904494,-76.97976496558104,4,0.53,99,93.39,2,1,33,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,69401.65,1000
Santa Anita,-11.920703263000531,-77.113141324661,5,1.26,233,179.01,5,3,37,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,140500.93,1050
Punta Hermosa,-11.974221713161176,-77.03774932672279,8,2.6,259,199.15,5,3,31,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,336514.47,1800
San Martín de Porres,-12.108711880022515,-77.02345325007782,4,4.01,59,49.48,1,1,8,1,0,0,Residencial Media Densidad,1,Contado,43699.75,950
San Luis,-12.062760641499567,-77.02225874916617,6,1.49,51,50.0,1,1,0,2,0,0,Residencial Media Densidad,1,Contado,72882.26,1400
San Martín de Porres,-11.728151510490207,-77.06014392546795,4,0.62,68,51.82,1,1,17,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,41702.39,950
Santiago de Surco,-12.031232446564937,-77.0117039465107,8,4.09,261,224.36,6,4,30,2,0,1,Residencial Alta Densidad,0,Crédito Hipotecario,422151.89,1900
Lince,-11.886367158113021,-77.03622350276055,7,0.31,191,166.31,4,2,33,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,267086.13,1800
Santa María del Mar,-11.713009326261306,-76.85908290863702,9,1.69,137,117.82,3,2,38,2,0,1,Residencial Media Densidad,1,Contado,210875.39,2000
La Molina,-12.050862478701674,-76.94685860014022,9,3.77,127,121.0,3,2,30,2,0,0,Residencial Alta Densidad,1,Contado,228084.31,1900
Pucusana,-12.005501771917013,-76.8840280258573,5,2.57,79,68.08,1,1,12,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,48704.38,700
Pachacámac,-11.977963104234139,-77.17041139842722,6,3.03,200,38.87,4,2,7,3,1,1,Residencial Baja Densidad,1,Contado,23706.43,400
Lince,-12.16120950035401,-76.95219927450957,7,3.25,162,133.41,3,2,6,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,230326.35,1800
Rímac,-12.186282255567615,-76.90695411684788,4,2.71,249,207.28,5,3,38,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,147028.25,1000
San Martín de Porres,-12.045366591645116,-77.04051453963982,4,3.09,222,157.99,4,2,33,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,101880.55,950
Cieneguilla,-12.091269949122717,-77.16727304739356,7,4.62,120,0.0,0,0,0,3,1,1,Alquiler Vacacional,0,Cuotas sin intereses,54952.18,350
Pachacámac,-12.091820353898353,-77.00754772193476,6,4.41,120,45.34,3,1,7,1,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,24472.88,400
Miraflores,-12.032456091293996,-77.35982582727078,9,2.09,252,242.18,6,4,14,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,659637.39,2400
Punta Hermosa,-11.870181873085892,-77.05791436495592,8,3.71,65,48.37,1,1,28,0,0,0,Residencial Media Densidad,1,Contado,86759.31,1800
Santiago de Surco,-11.872179391726734,-77.03945815968024,8,0.75,161,133.08,3,2,37,2,0,0,Residencial Alta Densidad,1,Contado,198588.58,1900
Miraflores,-12.0945246740282,-77.04651922467187,9,2.57,235,207.87,5,3,15,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,537316.97,2400
Puente Piedra,-12.097572455056879,-77.0737697674364,4,2.58,120,0.0,0,0,0,1,1,1,Alquiler Vacacional,0,Cuotas sin intereses,100286.35,850
Surquillo,-11.978329114407362,-77.10021871910149,6,2.56,188,164.9,4,2,34,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,197747.75,1500
Ancón,-11.916160208156816,-77.15062132276007,5,3.12,120,12.82,3,1,13,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,13918.92,600
Chaclacayo,-12.172921994637823,-76.86142643953883,7,3.07,293,281.3,8,5,38,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,183944.72,900
Pucusana,-12.11972081828471,-77.05228313173949,5,2.55,119,102.0,2,1,19,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,64432.26,700
Pucusana,-12.01545444266579,-77.06412384384407,5,4.12,275,240.46,6,4,7,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,148193.7,700
Villa María del Triunfo,-11.821161290142907,-76.93422511838614,3,3.98,166,138.97,3,2,17,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,92897.36,850
Villa María del Triunfo,-12.09058697726288,-76.89602341616774,3,3.13,172,134.82,3,2,1,2,0,0,Residencial Media Densidad,1,Contado,107610.28,850
Pucusana,-11.911952865436666,-77.0445924024019,5,3.05,68,57.79,1,1,27,1,0,1,Residencial Media Densidad,0,Contado,35207.08,700
San Juan de Lurigancho,-11.989946968477458,-76.98781440978598,3,3.58,244,217.24,6,4,17,1,0,0,Residencial Media Densidad,1,Contado,140068.87,900
San Borja,-12.065099058852075,-76.99953522010723,9,0.85,166,155.31,4,2,37,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,285607.97,2100
La Molina,-11.95548153909324,-76.87567823084163,9,4.52,117,103.41,2,1,30,0,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,176577.52,1900
Villa María del Triunfo,-12.132775375184142,-76.92573101468813,3,4.11,141,131.31,3,2,29,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,76281.39,850
Lurigancho-Chosica,-11.94776012509084,-77.00151868254586,6,2.07,65,47.54,1,1,20,0,0,0,Residencial Media Densidad,0,Crédito Hipotecario,32506.09,800
Pucusana,-12.012110017882875,-77.02267151218352,5,0.23,81,58.63,1,1,8,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,40392.34,700
Lima (Cercado),-12.08535997917115,-76.99802569382409,4,3.12,117,96.2,2,1,36,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,90744.16,1300
San Juan de Miraflores,-11.934464097411983,-77.16624563984588,4,4.75,120,116.4,3,2,6,1,0,0,Residencial Media Densidad,0,Crédito Hipotecario,99641.67,1000
Miraflores,-11.993218130300205,-77.08984835573641,9,1.8,62,60.08,1,1,37,1,0,0,Residencial Alta Densidad,1,Contado,134394.67,2400
Santa Rosa,-12.060578809302418,-77.0331437531927,5,2.61,120,0.0,0,0,0,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,85899.57,600
Pucusana,-11.95446796763721,-76.99780320254447,5,1.86,210,196.2,5,3,25,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,106922.62,700
Punta Negra,-12.18986694195512,-77.12684280975294,7,4.89,174,165.42,4,2,38,0,0,1,Residencial Media Densidad,1,Contado,157609.93,1200
Lurigancho-Chosica,-12.165433487526226,-76.9808761581901,6,1.22,160,122.85,3,2,6,2,0,1,Residencial Media Densidad,0,Contado,94218.29,800
Pueblo Libre,-12.115865106349329,-76.93240361602425,8,1.98,205,204.63,5,3,32,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,298829.32,1600
Santiago de Surco,-12.11680619859073,-77.03432354241578,8,4.69,262,253.01,7,4,12,0,0,1,Residencial Alta Densidad,1,Crédito Hipotecario,467733.46,1900
Villa El Salvador,-12.148857680789162,-77.06728571402863,4,2.42,120,0.0,0,0,0,1,1,1,Alquiler Vacacional,0,Crédito Hipotecario,103832.35,800
Chorrillos,-11.773926239465865,-77.0779747173354,5,3.22,76,74.32,2,1,38,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,71456.41,1400
Magdalena del Mar,-12.047855905731296,-76.99016205922496,8,1.06,100,88.37,2,1,19,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,156427.0,1800
Punta Negra,-12.011240404290108,-76.9662061105374,7,3.33,127,122.29,3,2,0,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,148571.57,1200
Chaclacayo,-12.030641760945867,-77.12649146145363,7,4.8,117,103.45,2,1,26,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,84691.35,900
Punta Negra,-12.052799309724483,-77.14310835351023,7,2.45,111,109.55,3,2,27,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,115349.54,1200
Comas,-11.965477260311284,-77.09443969825027,4,4.04,133,107.55,3,2,37,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,63166.91,900
San Isidro,-11.954694106050521,-76.96473651962457,9,4.21,133,97.62,2,1,32,2,0,0,Residencial Alta Densidad,1,Contado,244438.56,2600
Miraflores,-12.15423904595979,-77.14754368512962,9,2.01,184,157.08,4,2,3,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,421985.68,2400
Punta Hermosa,-12.06566093889452,-77.239897645358,8,4.39,129,124.93,3,2,2,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,233139.67,1800
Santiago de Surco,-11.986568914902952,-77.17390631318366,8,2.81,265,224.67,6,4,0,1,0,0,Residencial Alta Densidad,1,Contado,492813.97,1900
La Molina,-12.18286336147619,-77.09050459858234,9,1.55,280,257.75,7,4,30,1,0,0,Residencial Alta Densidad,1,Contado,479714.07,1900
Pucusana,-12.038608537832765,-77.25070178722783,5,1.63,206,173.93,4,2,24,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,96317.89,700
Magdalena del Mar,-12.161306486530993,-77.00304905819334,8,2.95,69,55.28,1,1,16,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,94772.09,1800
Santa Anita,-11.937765442653014,-76.99533376208241,5,1.41,173,127.69,3,2,13,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,122818.56,1050
Rímac,-12.117044013572947,-77.06954346421942,4,3.91,267,257.8,7,4,12,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,235095.72,1000
Los Olivos,-12.332291790570663,-77.11647716706463,5,0.98,111,109.98,3,2,3,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,121315.62,1100
Rímac,-12.064762093782809,-76.92174270687146,4,0.77,275,269.46,7,4,2,1,0,0,Residencial Media Densidad,1,Contado,228260.82,1000
Surquillo,-11.893701442090412,-77.03571237565443,6,4.68,242,219.43,6,4,38,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,266943.34,1500
Ate,-11.96103986918141,-77.05373071655542,4,0.38,293,232.02,6,4,18,2,0,0,Residencial Media Densidad,0,Crédito Hipotecario,225111.87,1100
Puente Piedra,-12.081565646632898,-77.13228097812683,4,1.41,120,0.0,0,0,0,2,1,1,Alquiler Vacacional,1,Contado,99057.77,850
Surquillo,-11.998921404613203,-77.04286636396438,6,2.27,97,87.55,2,1,15,1,0,0,Residencial Media Densidad,1,Contado,119765.82,1500
Chaclacayo,-12.05866045773334,-76.94916982159967,7,2.99,219,207.46,5,3,33,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,172624.73,900
Independencia,-12.040699126484535,-77.00327957689561,4,2.85,208,199.9,5,3,34,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,126409.84,950
Santa María del Mar,-12.006031389842635,-76.96230925884039,9,4.39,254,182.47,5,3,3,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,455506.99,2000
Chaclacayo,-12.118406855445722,-77.00281800538386,7,4.18,157,126.14,3,2,0,0,0,0,Residencial Media Densidad,1,Contado,129083.66,900
Independencia,-11.91944738748085,-76.92528480426222,4,0.83,280,199.2,5,3,16,2,0,1,Residencial Media Densidad,1,Contado,161904.47,950
La Victoria,-12.130791787013267,-76.94311048316821,3,3.22,197,148.06,4,2,12,2,0,0,Residencial Media Densidad,1,Contado,141154.78,1200
Ate,-11.91167331914953,-76.84126801489012,4,3.6,275,193.5,5,3,14,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,171519.75,1100
Santiago de Surco,-11.914367054127615,-76.99558109726762,8,2.4,147,120.48,3,2,11,1,0,0,Residencial Alta Densidad,1,Contado,239976.47,1900
Barranco,-11.954331759595481,-76.97273512956399,8,2.08,245,227.76,6,4,0,1,0,1,Residencial Alta Densidad,1,Contado,673860.67,2500
San Martín de Porres,-12.129437763828822,-77.06265078604527,4,2.02,143,133.87,3,2,30,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,89508.37,950
San Juan de Miraflores,-11.903400503936409,-77.11851582753788,4,3.01,272,253.89,7,4,38,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,179345.85,1000
Pueblo Libre,-12.130001971715666,-76.91089989316401,8,0.92,229,188.72,5,3,2,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,328095.46,1600
Lurín,-12.235490358454612,-76.97556452819163,5,0.67,120,0.0,0,0,0,3,1,0,Residencial Baja Densidad,0,Cuotas sin intereses,68773.99,500
Lurigancho-Chosica,-12.138608360660369,-76.91064269885483,6,0.55,282,203.88,5,3,21,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,134902.49,800
Pueblo Libre,-12.03450431951203,-77.08912990431007,8,2.79,79,75.14,2,1,20,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,127825.49,1600
San Martín de Porres,-11.75403471039865,-76.97104394929632,4,0.1,58,55.92,1,1,24,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,41658.82,950
Ancón,-12.262259835326443,-77.03210380861704,5,4.51,120,22.97,2,2,4,1,1,1,Alquiler Vacacional,0,Cuotas sin intereses,20321.96,600
San Miguel,-11.928787596605172,-76.9550459506868,7,0.41,228,174.06,4,2,7,2,0,0,Residencial Media Densidad,0,Contado,262779.97,1600
Puente Piedra,-12.054300684481424,-77.14201293897001,4,3.51,120,0.0,0,0,0,1,1,1,Alquiler Vacacional,1,Cuotas sin intereses,102925.45,850
Villa María del Triunfo,-12.086001007669402,-77.06188489824494,3,1.22,75,53.88,1,1,16,0,0,0,Residencial Media Densidad,1,Contado,36896.25,850
San Luis,-11.979837747948203,-77.0734450275962,6,4.85,231,194.87,5,3,14,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,266988.36,1400
Puente Piedra,-11.85976575743305,-77.11953565905618,4,3.96,200,79.51,2,3,1,3,1,1,Alquiler Vacacional,1,Crédito Hipotecario,65929.84,850
Lince,-11.999085463288733,-76.91148849102404,7,2.6,199,173.91,4,2,36,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,257231.79,1800
San Luis,-12.078504839149721,-77.15661284707014,6,1.65,65,61.9,1,1,16,2,0,0,Residencial Media Densidad,1,Contado,72699.15,1400
San Bartolo,-12.002289400658185,-77.1142509816646,7,4.61,280,213.86,6,4,18,2,0,0,Residencial Media Densidad,0,Crédito Hipotecario,306784.66,1400
Lurín,-12.038484985984951,-77.02568703538928,5,2.32,200,67.06,3,2,3,1,1,1,Alquiler Vacacional,1,Contado,42985.65,500
Pucusana,-12.009066575770536,-77.02398937037474,5,2.84,283,272.16,7,4,26,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,161685.9,700
Lurín,-12.182540958306946,-76.87657031295679,5,3.54,120,0.0,0,0,0,3,1,1,Alquiler Vacacional,0,Cuotas sin intereses,69470.81,500
Puente Piedra,-12.16221612565571,-77.13994937711065,4,0.74,120,47.31,2,1,8,2,1,1,Residencial Baja Densidad,1,Crédito Hipotecario,44594.08,850
Lince,-12.116889595696385,-77.1809057000587,7,3.45,246,211.21,6,4,31,0,0,0,Residencial Media Densidad,1,Contado,355329.99,1800
Comas,-12.019371472626656,-77.13099680164851,4,0.21,144,143.69,4,2,13,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,102612.43,900
Ancón,-12.074027420129712,-76.90839844150247,5,4.88,200,45.2,3,3,13,1,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,35369.66,600
Villa El Salvador,-11.96366678113586,-76.98498831670322,4,3.03,120,0.0,0,0,0,1,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,108077.25,800
Lurín,-11.865556625796083,-77.02717296713648,5,4.64,200,0.0,0,0,0,3,1,1,Alquiler Vacacional,0,Cuotas sin intereses,106987.15,500
San Juan de Miraflores,-12.075445897933797,-77.13665899995537,4,4.18,81,64.84,1,1,28,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,44692.74,1000
San Luis,-11.869953456795246,-77.00865572580787,6,3.78,173,154.22,4,2,2,1,0,0,Residencial Media Densidad,1,Contado,218325.87,1400
Lince,-11.967358293360357,-76.89513805248478,7,1.31,151,128.62,3,2,0,1,0,1,Residencial Media Densidad,1,Contado,279680.61,1800
Santiago de Surco,-11.89147933417924,-77.08520446780035,8,4.96,94,79.61,2,1,11,0,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,164234.92,1900
Lurigancho-Chosica,-11.964815591018981,-76.83441875880152,6,3.16,168,165.34,4,2,11,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,141142.27,800
San Luis,-12.007517915539509,-76.99678962695467,6,3.1,105,91.43,2,1,8,0,0,0,Residencial Media Densidad,1,Contado,129783.2,1400
Puente Piedra,-11.852081369408332,-77.09216736384128,4,3.32,120,44.38,2,3,7,1,1,1,Alquiler Vacacional,0,Cuotas sin intereses,42132.97,850
Chaclacayo,-11.912461592623725,-77.06136339785492,7,0.76,61,59.07,1,1,18,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,48736.09,900
Miraflores,-11.886032691348522,-77.11580556025945,9,2.5,296,272.37,7,4,33,0,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,587573.54,2400
Chaclacayo,-12.027056619947988,-76.78593473285707,7,3.9,132,105.54,3,2,32,1,0,0,Residencial Media Densidad,0,Crédito Hipotecario,80458.01,900
San Juan de Lurigancho,-12.105881873218388,-76.96718633307631,3,0.65,130,114.17,3,2,15,1,0,0,Residencial Media Densidad,1,Contado,76625.44,900
Surquillo,-12.087261113011738,-76.94083811191803,6,0.38,135,95.53,2,1,6,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,146956.97,1500
Villa María del Triunfo,-12.081879491838782,-76.93140779406686,3,3.18,284,251.05,7,4,34,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,150404.95,850
Santa Rosa,-12.206760332161924,-77.03223417456645,5,1.89,500,0.0,0,0,0,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,297687.12,600
San Isidro,-12.036285045339445,-77.20211528419453,9,0.33,162,129.59,3,2,21,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,320717.1,2600
Villa El Salvador,-11.984298191045127,-77.17399839709672,4,4.75,500,0.0,0,0,0,1,1,1,Alquiler Vacacional,1,Contado,409673.73,800
El Agustino,-12.158529257591178,-76.966631150715,3,0.71,212,160.2,4,2,27,0,0,0,Residencial Media Densidad,1,Contado,99315.34,850
San Borja,-12.101199177090981,-77.13694881661581,9,1.96,249,178.7,5,3,21,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,410067.57,2100
Lurigancho-Chosica,-12.060450890362747,-77.00989108481485,6,2.65,204,146.73,4,2,26,0,0,1,Residencial Media Densidad,1,Contado,94836.68,800
Pueblo Libre,-12.092928649734084,-77.04583993142538,8,2.46,252,178.56,5,3,11,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,316054.61,1600
Comas,-12.152009678596226,-76.9926251122217,4,0.44,175,132.51,3,2,21,2,0,0,Residencial Media Densidad,1,Contado,85654.08,900
San Isidro,-12.049009426482536,-77.30222613464306,9,1.33,226,203.43,5,3,35,0,0,1,Residencial Alta Densidad,1,Crédito Hipotecario,490955.3,2600
Lima (Cercado),-12.373595860313042,-76.94406769523283,4,3.38,153,139.13,3,2,31,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,122231.6,1300
Breña,-12.016375706093429,-77.04824672186687,5,3.48,188,168.84,4,2,11,2,0,0,Residencial Media Densidad,1,Contado,205037.02,1300
Santiago de Surco,-12.025839241801185,-77.10666927100853,8,2.48,122,88.7,2,1,39,2,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,151238.6,1900
Comas,-12.079302657832047,-76.99638932338317,4,2.31,221,216.5,6,4,31,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,146047.36,900
Comas,-11.918030670201583,-76.85596980867498,4,0.76,118,93.75,2,1,6,1,0,1,Residencial Media Densidad,1,Contado,74988.6,900
Punta Hermosa,-11.941920473851194,-76.94616122488583,8,4.62,252,229.39,6,4,26,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,355742.97,1800
Breña,-11.922687472256625,-77.02083637774773,5,2.97,96,82.61,2,1,39,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,70950.91,1300
Los Olivos,-11.908506514474343,-77.13323342188356,5,4.23,107,97.36,2,1,9,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,93401.75,1100
Lince,-12.043750369326954,-76.8902736821279,7,2.29,134,115.06,3,2,9,1,0,0,Residencial Media Densidad,1,Contado,197381.63,1800
Lima (Cercado),-12.053210328135686,-76.90419927497618,4,1.26,243,239.31,6,4,37,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,187234.44,1300
San Martín de Porres,-12.16995591851689,-77.24556090577089,4,3.85,259,195.97,5,3,31,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,142742.63,950
Carabayllo,-12.145505880653417,-77.08224435955569,4,4.89,120,0.0,0,0,0,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,91890.15,800
Carabayllo,-11.941281057414258,-76.93473200245707,4,4.16,120,0.0,0,0,0,1,1,1,Alquiler Vacacional,0,Cuotas sin intereses,105830.97,800
Magdalena del Mar,-12.006625673841315,-77.06454875702285,8,0.47,218,176.68,5,3,31,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,317975.14,1800
Lima (Cercado),-12.062560452785682,-76.8695796460293,4,3.36,105,88.34,2,1,2,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,114081.76,1300
Lurigancho-Chosica,-12.053996172461305,-77.1508351031533,6,4.77,128,117.83,3,2,22,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,83723.47,800
Ate,-12.070784702514219,-77.10612858926837,4,4.08,186,151.21,4,2,23,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,118244.34,1100
San Bartolo,-11.951625817162622,-77.0653031783912,7,2.17,222,220.61,6,4,19,0,0,0,Residencial Media Densidad,1,Contado,294234.56,1400
La Molina,-12.05734852588549,-77.04852941039039,9,3.33,137,104.78,2,1,12,0,0,0,Residencial Alta Densidad,1,Contado,220680.14,1900
Breña,-11.933812815322012,-77.00556455985391,5,3.96,237,200.53,5,3,33,0,0,0,Residencial Media Densidad,1,Contado,194902.43,1300
Villa El Salvador,-12.074833726147899,-76.97265740203987,4,4.13,200,0.0,0,0,0,3,1,1,Alquiler Vacacional,1,Cuotas sin intereses,161623.93,800
El Agustino,-12.01467218833864,-77.03840015793767,3,4.54,243,172.24,4,2,13,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,115554.02,850
San Isidro,-11.932926430959558,-76.9255804097996,9,1.53,53,37.61,1,1,24,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,104619.35,2600
Surquillo,-12.22256099122139,-76.82576814319302,6,2.77,93,84.0,2,1,11,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,126464.97,1500
Cieneguilla,-12.045210697879224,-76.9432295318894,7,4.31,120,0.0,0,0,0,2,0,1,Alquiler Vacacional,0,Cuotas sin intereses,52756.99,350
Barranco,-12.120663064122308,-76.94477276205838,8,1.6,202,165.53,4,2,12,2,0,0,Residencial Alta Densidad,1,Contado,452660.5,2500
Comas,-11.982051950877967,-76.92651640704398,4,2.55,219,202.23,5,3,29,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,121405.67,900
San Borja,-11.99075760094805,-77.12115266381912,9,4.59,128,115.02,3,2,39,1,0,0,Residencial Alta Densidad,0,Contado,232327.45,2100
Independencia,-11.997211036492372,-77.04230712271942,4,1.57,267,226.6,6,4,10,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,174249.85,950
San Martín de Porres,-12.32501949375765,-77.00997098663504,4,0.69,129,106.53,3,2,32,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,71417.05,950
Santa Anita,-12.233522224139074,-76.94817980953671,5,3.96,252,244.0,6,4,31,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,187960.9,1050
Villa El Salvador,-12.036907636430895,-77.03804306686314,4,1.67,120,16.88,1,2,11,3,1,0,Alquiler Vacacional,0,Contado,17318.59,800
La Molina,-12.089267425151968,-77.18349001743783,9,1.45,57,50.03,1,1,11,0,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,104889.94,1900
San Miguel,-12.023552756338496,-77.02108714288151,7,4.79,51,49.47,1,1,12,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,81958.58,1600
La Molina,-12.006714940188644,-76.95558060225537,9,0.22,188,148.16,4,2,30,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,275495.09,1900
Jesús María,-12.177010232369193,-76.94237389829613,8,3.38,174,153.67,4,2,6,2,0,0,Residencial Media Densidad,1,Contado,305085.57,1700
Santa Anita,-12.084251470128144,-77.15074805863117,5,1.78,134,112.34,3,2,22,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,105313.98,1050
El Agustino,-12.165436770658037,-77.1832591881786,3,2.73,63,59.29,1,1,17,0,0,1,Residencial Media Densidad,1,Contado,37727.21,850
Comas,-11.996232853135071,-77.02225848582216,4,3.05,287,210.25,6,4,17,1,0,0,Residencial Media Densidad,0,Contado,164632.27,900
Chorrillos,-12.004698457116175,-76.86393618520567,5,1.76,160,129.97,3,2,30,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,133954.07,1400
Ate,-12.03450861563499,-77.14132964728697,4,3.66,51,36.38,1,1,9,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,38288.02,1100
Pucusana,-11.959918742042579,-77.12244482512644,5,4.36,296,264.85,7,4,13,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,162515.55,700
Santa Rosa,-11.954334151166396,-77.0372037022198,5,0.58,120,23.23,2,3,0,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,23704.62,600
Santiago de Surco,-11.926943796738176,-76.8821266089109,8,4.29,187,159.17,4,2,17,2,0,1,Residencial Alta Densidad,1,Contado,332488.33,1900
